ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,15,20,161.0,1.6,-0.5209,1.5128
2022,01,15,21,195.0,2.4,0.6212,2.3182
2022,01,15,22,67.0,1.1,-1.0126,-0.4298
2022,01,15,23,130.0,1.1,-0.8426,0.7071
2022,01,16,0,168.0,0.6,-0.1247,0.5869
2022,01,16,1,45.0,0.9,-0.6364,-0.6364
2022,01,16,2,130.0,1.1,-0.8426,0.7071
2022,01,16,3,80.0,1.4,-1.3787,-0.2431
2022,01,16,4,97.0,1.5,-1.4888,0.1828
2022,01,16,5,81.0,1.1,-1.0865,-0.1721
2022,01,16,6,38.0,0.4,-0.2463,-0.3152
2022,01,16,7,58.0,0.6,-0.5088,-0.318
2022,01,16,8,139.0,0.6,-0.3936,0.4528
2022,01,16,9,84.0,0.6,-0.5967,-0.0627
2022,01,16,10,105.0,0.9,-0.8693,0.2329
2022,01,16,11,50.0,1.4,-1.0725,-0.8999
2022,01,16,12,315.0,0.6,0.4243,-0.4243
2022,01,16,13,300.0,1.3,1.1258,-0.65
2022,01,16,14,269.0,1.1,1.0998,0.0192
2022,01,16,15,218.0,0.9,0.5541,0.7092
2022,01,16,16,202.0,2.7,1.0114,2.5034
2022,01,16,17,174.0,1.9,-0.1986,1.8896
2022,01,16,18,170.0,2.2,-0.382,2.1666
2022,01,16,19,92.0,1.8,-1.7989,0.0628
2022,01,16,20,71.0,2.3,-2.1747,-0.7488
2022,01,16,21,111.0,1.1,-1.0269,0.3942
2022,01,16,22,267.0,2.3,2.2968,0.1204
2022,01,16,23,189.0,1.6,0.2503,1.5803
2022,01,17,0,338.0,0.3,0.1124,-0.2782
2022,01,17,1,353.0,0.9,0.1097,-0.8933
2022,01,17,2,72.0,0.8,-0.7608,-0.2472
2022,01,17,3,78.0,0.5,-0.4891,-0.104
2022,01,17,4,178.0,0.6,-0.0209,0.5996
2022,01,17,5,193.0,0.3,0.0675,0.2923
2022,01,17,6,212.0,0.4,0.212,0.3392
2022,01,17,7,116.0,0.7,-0.6292,0.3069
2022,01,17,8,63.0,0.3,-0.2673,-0.1362
2022,01,17,9,69.0,0.3,-0.2801,-0.1075
