uwind_sbgl,vwind_sbgl,uwind_sbrj,vwind_sbrj,uwind_niteroi,vwind_niteroi
-1.3,1.4499999,-2.11,1.5899999,-1.4599999,1.17
-1.7099999,1.29,-2.59,1.37,-1.74,1.02
-1.48,0.53,-2.4099998,0.45,-1.4599999,0.55
-1.52,0.37,-2.5,0.26999998,-1.6899999,0.31
-0.84999996,0.14,-1.73,0.0,-1.14,0.11
-0.78,0.19,-1.62,0.049999997,-1.09,0.16
-0.78,0.19,-1.66,0.07,-1.13,0.17
-0.75,0.14999999,-1.67,-0.01,-1.09,0.12
-0.66999996,0.08,-1.61,-0.06,-1.06,0.049999997
-0.77,0.04,-1.74,-0.089999996,-1.12,0.0
-0.72999996,-0.07,-1.7099999,-0.24,-1.03,-0.089999996
-0.61,-0.16,-1.53,-0.37,-0.9,-0.16
-0.44,-0.19,-1.31,-0.44,-0.74,-0.21
-0.44,-0.17,-1.29,-0.39999998,-0.7,-0.19
-0.53999996,-0.16,-1.42,-0.35,-0.72999996,-0.17
-1.05,-0.71,-1.9799999,-0.65,-1.16,-0.65999997
-1.05,-0.75,-1.9799999,-0.84,-1.2099999,-0.71999997
-0.96999997,-0.96999997,-1.8299999,-1.2099999,-1.0699999,-0.89
-0.65999997,-1.12,-1.4399999,-1.4,-0.77,-0.84999996
-0.55,-1.18,-1.31,-1.38,-0.62,-0.75
-0.61,-0.83,-1.4599999,-0.77,-0.78999996,-0.32999998
-1.1899999,-0.29,-2.04,-0.14,-1.41,0.06
-1.78,0.03,-2.72,0.24,-1.9699999,0.19
-2.99,-0.089999996,-4.0,-0.13,-2.74,-0.22999999
-2.33,-0.22,-3.4199998,-0.78,-2.28,-0.17
-2.81,0.14999999,-4.08,-0.26999998,-2.85,0.06
-2.96,-0.08,-4.37,-0.71,-2.98,-0.14999999
-2.73,-0.24,-4.08,-0.79999995,-2.71,-0.17
-1.67,-0.14,-3.0,-0.58,-1.9699999,-0.17999999
-1.0799999,-0.089999996,-2.28,-0.53,-1.56,-0.16
-0.69,-0.11,-1.74,-0.51,-1.2099999,-0.19
-0.51,-0.12,-1.42,-0.45999998,-0.96999997,-0.24
-0.57,-0.14,-1.4499999,-0.42999998,-0.82,-0.26
-0.53999996,-0.16,-1.38,-0.42,-0.74,-0.22
-0.52,-0.11,-1.35,-0.28,-0.81,-0.14
-0.48999998,-0.17,-1.3399999,-0.31,-0.81,-0.16
-0.52,-0.19999999,-1.39,-0.34,-0.83,-0.17999999
-0.64,-0.22999999,-1.53,-0.39,-0.89,-0.19999999
-0.7,-0.29,-1.61,-0.48,-0.9,-0.26999998
-1.06,-0.63,-1.92,-0.61,-1.16,-0.52
-1.0799999,-0.84,-1.9699999,-0.76,-1.3299999,-0.74
-1.1999999,-1.16,-2.06,-1.27,-1.38,-0.97999996
-1.3299999,-1.25,-2.09,-1.4,-1.3399999,-0.96999997
-1.28,-1.43,-1.93,-1.4699999,-1.1999999,-0.98999995
-1.0799999,-1.81,-1.6999999,-1.6899999,-1.03,-1.16
-1.06,-1.79,-1.5999999,-1.5999999,-1.0799999,-1.11
-1.52,-1.24,-2.11,-0.97999996,-1.49,-0.61
-2.01,-0.71,-2.69,-0.42,-2.03,-0.099999994
-2.82,-0.76,-3.5,-0.45999998,-2.97,-0.79999995
-3.12,-1.51,-4.0099998,-1.6999999,-2.9199998,-1.35
-3.07,-0.32999998,-3.99,-0.96,-2.8799999,-0.26
-2.7,-0.74,-3.86,-1.15,-2.53,-0.56
-1.5699999,-0.26,-2.6499999,-0.65999997,-1.6899999,-0.19
-1.11,-0.19,-2.07,-0.53999996,-1.4699999,-0.17999999
-0.85999995,-0.08,-1.76,-0.35,-1.28,-0.14
-0.71,-0.04,-1.65,-0.25,-1.1899999,-0.14
-0.7,-0.04,-1.65,-0.24,-1.11,-0.14
-0.71,-0.03,-1.65,-0.19999999,-1.03,-0.089999996
-0.68,-0.03,-1.63,-0.17,-1.0,-0.049999997
-0.68,0.0,-1.66,-0.089999996,-1.0699999,0.0
-0.78999996,-0.01,-1.86,-0.099999994,-1.18,-0.01
-0.9,-0.03,-2.04,-0.12,-1.23,0.01
-0.87,-0.17,-1.9599999,-0.31,-1.1899999,-0.11
-1.0,-0.78999996,-1.99,-0.83,-1.14,-0.59999996
-0.96,-1.29,-1.8299999,-1.4499999,-1.2099999,-1.13
-0.97999996,-1.4699999,-1.77,-1.65,-1.14,-1.3199999
-0.83,-1.7099999,-1.51,-1.9,-0.94,-1.4599999
-0.74,-1.91,-1.39,-2.12,-0.9,-1.52
-0.84,-1.91,-1.5,-1.9599999,-1.0699999,-1.4499999
-1.11,-1.62,-1.8199999,-1.63,-1.38,-1.1899999
-1.2099999,-1.38,-1.9499999,-1.3199999,-1.4499999,-0.95
-1.4499999,-0.93,-2.36,-0.7,-1.63,-0.42999998
-1.76,-0.07,-2.72,0.29999998,-2.1399999,0.16
-2.78,0.98999995,-3.9399998,1.3399999,-3.09,0.96
-3.3899999,0.78,-4.54,1.28,-3.55,0.71
-2.59,0.98999995,-4.15,1.16,-2.95,1.0
-2.0,0.66999996,-3.4499998,0.72999996,-2.44,0.57
-1.8,0.34,-3.1299999,0.25,-2.26,0.21
-1.55,0.14999999,-2.78,-0.02,-2.01,0.03
-1.41,0.06,-2.62,-0.08,-1.88,-0.06
-0.42999998,0.22999999,-1.24,0.16,-1.4,0.07
0.63,1.0,0.11,1.09,-0.52,0.61
0.64,0.94,-0.08,0.91999996,-0.049999997,0.88
-0.099999994,0.22,-0.91999996,0.07,-0.55,0.34
